 Salary slips starting on or after this date will be considered for arrear calculations,起始日期在此日期及之后的工资条将纳入欠薪计算范围,
 Unlink Payment on Cancellation of Employee Advance, 员工预支取消时解除支付关联,
"""From Date"" can not be greater than or equal to ""To Date""",“起始日期”不能大于等于“结束日期”,
% Utilization (B + NB) / T,利用率%（基本 + 非基本）/ 总时长,
% Utilization (B / T),利用率%（基本 / 总时长）,
'employee_field_value' and 'timestamp' are required.,必须提供'employee_field_value'和'timestamp',
) for {0},）用于{0},
...Fetching Employees,...正在获取员工数据,
<b>Base</b> amount has not been set for the following employee(s): {0},<b>基本</b>金额未对以下员工设置：{0},
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>示例：</b>SAL-{first_name}-{date_of_birth.year} <br>将生成类似SAL-Jane-1972的密码,
<b>Total Leaves Allocated</b> are more than the number of days in the allocation period,<b>分配的总假期</b>超过分配周期天数,
"<h3>Help</h3>

<p>Notes:</p>

<ol>
<li>Use field <code>base</code> for using base salary of the Employee</li>
<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>
<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>
<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>
<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>

<h4>Examples</h4>
<ol>
<li>Calculating Basic Salary based on <code>base</code>
<pre><code>Condition: base &lt; 10000</code></pre>
<pre><code>Formula: base * .2</code></pre></li>
<li>Calculating HRA based on Basic Salary<code>BS</code> 
<pre><code>Condition: BS &gt; 2000</code></pre>
<pre><code>Formula: BS * .1</code></pre></li>
<li>Calculating TDS based on Employment Type<code>employment_type</code> 
<pre><code>Condition: employment_type==""Intern""</code></pre>
<pre><code>Amount: 1000</code></pre></li>
</ol>","<h3>帮助</h3>

<p>注释：</p>

<ol>
<li>用字段 <code>base</code> 表示员工基本工资</li>
<li>在条件和公式中使用工资组成部分的缩写。 <code>BS = Basic Salary</code></li>
<li>在条件和公式中使用字段名称来显示员工详细信息。 <code>就业类型 = employment_type</code><code>分部 = branch</code></li>
<li>在条件和公式中使用工资单中的字段名称。 <code>账期 = payment_days</code><code>无薪假期 = leave_without_pay</code></li>
<li>也可以根据条件输入具体金额。参见示例 3</li></ol>

<h4>示例</h4>
<ol>
<li>根据 <code>base</code> 计算基本工资
<pre><code>条件：base &lt; 10000</code></pre>
<pre><code>公式：base * .2</code></pre></li>
<li>计算 HRA 基本工资 <code>BS</code>
<pre><code>条件：BS &gt; 2000</code></pre>
<pre><code>公式：BS * .1</code></pre></li>
<li>计算基于 TDS 的员工类型 <code>employment_type</code> 
<pre><code>条件：employment_type==""实习""</code></pre>
<pre><code>金额：1000</code></pre></li>
</ol>",
